#FILE	NUM_FOUND	NlpI_gi_218560235	afaC/draC/daaC_VFG045796	ag43-MS7163	ag43a_CFT073	aufC_ECS88_3823	cdtB_gi_117623644	chuA_gi_26250130	cirA_AE016763_105	cjrC_UTI89_RS25305	clbB_gi_112292718	cnf1_gi_403299	csgE_gi_15801156	ecpC_gi_15799996	eibC_gi_7523529	eibE_gi_7523541	eibG_gi_299150344	eitB_APECO1_RS26190	entS_gi_26246570	fecA_b4291	fepA_gi_26246561	fhuA_b0150	fhuE_b1102	fimD_gi_15804892	fiu_c0890	fliC(H1)_L07387.1	fliC(H4)_AJ536600.1	fliC(H7)_AF228487.1	focH_gi_386638502	fyuA_gi_26248288	hbp/tsh_gi_3288154	hlyA_gi_386641997	hlyF_APECO1_O1CoBM189	hma_gi_26248334	hra1_AAC13751	ibeA_gi_18152905	ibeB_gi_4835717	iha_gi_78057505	ireA_gi_26250982	iroN_gi_26247124	iss_SPG000143	iutA_gi_26249458	kpsD_gi_409035	nhaA_GeneID:944758	ompA_gi_7188818	ompT_SPG000077	papC_gi_26249425	papGIII_ABE1029	papGII_AAN82031	papGI_ELL40467	pic_gi_387610008	pixC_gi_30524679	sat_gi_26249454	sfaH_gi_91210144	sisA_AE016766_93	sitA_gi_386618823	tcpC_gi_26248250	tosA_c0363	traJ_gi_150860	traT_SPG000097	uclC_ABE10308	upaB_ECP_0379	upaC/ehaB_VFG045825	upaE_c2895	upaG/ehaG_beta	upaI_ECP_2276	usp_gi_386617620	vat_gi_386605757	yadV_b0140	ydeT_AE016760_251	yehC_b2110	yfcV_b2339	yqiH_c3793	znuB_AAC74929
ESC_AA8215AA_AS_abricate.tsv	22	100.00	.	.	.	.	.	.	99.40	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	90.61	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;83.20	.	.	.	.	100.00	99.28	.	.	100.00	.	100.00	100.00	.	100.00
ESC_AA8310AA_AS_abricate.tsv	22	100.00	.	100.00	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	99.76	.	.	.	.	99.86	100.00	.	100.00
ESC_AA8359AA_AS_abricate.tsv	25	100.00	.	.	.	.	.	100.00	99.40	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	99.68	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	99.83	100.00	.	100.00	96.59	.	100.00	99.79	.	.	.	100.00	100.00	100.00	.	100.00
ESC_AA8406AA_AS_abricate.tsv	29	100.00	.	100.00	100.00	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	.	.	.	.	97.99	.	100.00	.	.	.	99.68	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	99.83	100.00	.	.	.	.	100.00	99.31	.	.	100.00	.	100.00	100.00	.	100.00
ESC_AA8421AA_AS_abricate.tsv	24	100.00	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	100.00	.	.	100.00	.	.	.	99.68	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	100.00
ESC_AA8443AA_AS_abricate.tsv	34	100.00	.	100.00	.	100.00	.	100.00	99.95	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.78	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	.	.	99.93	99.93	.	.	100.00	99.68	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	100.00	100.00	99.89	99.97	100.00	100.00	100.00	.	100.00	100.00
ESC_AA8487AA_AS_abricate.tsv	40	100.00	.	.	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	99.78	100.00	100.00	100.00	.	.	.	.	100.00	.	100.00	.	.	94.84	99.93	100.00	.	.	100.00	99.68	.	100.00	100.00	100.00	100.00	.	.	.	.	85.21	.	.	.	100.00	100.00	100.00	.	.	.	100.00	.	.	.	100.00	100.00	99.89	100.00	100.00	100.00	100.00	.	100.00	100.00
ESC_AA8545AA_AS_abricate.tsv	31	100.00	.	.	100.00;100.00	.	.	.	99.75	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	.	94.84	.	100.00	100.00	100.00	.	99.68	99.96	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	100.00;98.95	100.00	.	.	99.83	100.00	.	.	.	.	100.00	99.31	.	.	100.00	.	100.00	100.00	.	100.00
ESC_AA8555AA_AS_abricate.tsv	25	100.00	.	100.00	.	.	.	.	100.00	100.00	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	99.93	.	.	.	99.68	99.96	.	100.00	100.00	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	.	.	.	.	.	99.76	.	.	100.00	.	100.00	100.00	.	100.00
ESC_AA8584AA_AS_abricate.tsv	25	100.00	.	98.48	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	99.93	.	.	.	99.68	99.96	.	100.00	100.00	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	.	.	.	.	.	99.76	.	.	100.00	.	100.00	100.00	.	100.00
ESC_AA8616AA_AS_abricate.tsv	46	100.00	.	99.84	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	98.58	100.00	100.00	.	.	.	.	100.00	.	100.00	.	100.00	94.84	.	100.00	.	.	100.00	99.68	.	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	99.77	.	100.00	.	100.00	100.00	.	99.83	100.00	100.00	100.00	100.00	.	100.00	100.00	99.72	100.00	100.00	100.00	100.00	.	.	100.00
ESC_AA8623AA_AS_abricate.tsv	21	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.04	.	.	.	.	100.00	99.31	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_AA8766AA_AS_abricate.tsv	20	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	99.93	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	96.62	.	100.00	99.76	.	.	.	100.00	100.00	100.00	.	100.00
ESC_AA8773AA_AS_abricate.tsv	24	100.00	.	.	100.00	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	97.41	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	99.28	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_AA8776AA_AS_abricate.tsv	22	100.00	.	.	.	100.00	.	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.78	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	99.93	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	100.00
ESC_AA8784AA_AS_abricate.tsv	26	100.00	.	.	100.00	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	97.99	.	100.00	.	.	.	99.68	.	.	100.00	100.00	92.45	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	99.31	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_AA8817AA_AS_abricate.tsv	47	100.00	.	.	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	99.78	100.00	100.00	100.00	100.00	.	.	96.08	100.00	.	100.00	.	85.57	94.84	.	100.00	100.00	.	100.00	99.68	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	100.00	100.00	100.00	.	.	100.00	100.00	100.00	.	.	100.00	100.00	99.89	100.00	100.00	100.00	100.00	.	100.00	100.00
ESC_AA8868AA_AS_abricate.tsv	20	100.00	.	88.08	.	.	.	100.00	100.00	.	.	.	100.00	.	.	.	.	.	99.92	100.00	100.00	100.00	100.00	.	87.17	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	98.95	100.00	.	.	.	.	.	.	.	.	100.00	99.79	.	.	.	.	.	100.00	.	100.00
ESC_AA8896AA_AS_abricate.tsv	34	100.00	.	.	.	.	.	100.00	99.05	100.00	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	99.24	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	99.95	.	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	98.95;100.00	100.00	.	.	.	.	.	.	96.62	.	100.00	100.00	.	.	100.00	.	100.00	.	.	100.00
ESC_AA8948AA_AS_abricate.tsv	39	100.00	.	100.00	100.00	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	99.47	100.00	100.00	100.00	100.00	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	99.68	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	100.00	100.00	.	.	.	100.00	.	.	96.55	99.47	100.00	99.12	.	.	.	100.00	100.00	.	100.00	100.00
ESC_AA8961AA_AS_abricate.tsv	36	100.00	.	100.00	81.44;81.44	.	.	100.00	99.50	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.47	100.00	100.00	100.00	100.00	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	99.68	100.00;99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	100.00	100.00	.	.	.	.	.	.	96.55	99.47	100.00	99.12	.	.	.	100.00	100.00	.	100.00	100.00
ESC_AA8969AA_AS_abricate.tsv	48	100.00	.	99.68	100.00;100.00	100.00	100.00	100.00	99.95	.	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	99.78	100.00	100.00	100.00	100.00	.	.	100.00	100.00	.	100.00	.	100.00	.	.	100.00	.	.	100.00	99.68	.	100.00	100.00	100.00	100.00;99.48	100.00	100.00	.	.	99.93	.	.	.	.	100.00	100.00	.	.	.	100.00	99.74	100.00	99.97	100.00	100.00	99.89	100.00	100.00	100.00	100.00	.	100.00	100.00
ESC_AA9006AA_AS_abricate.tsv	30	100.00	.	.	.	.	.	84.80	100.00	.	.	.	100.00	99.88	.	.	.	.	100.00	100.00	99.51	.	100.00	100.00	100.00	.	.	.	.	.	100.00	.	100.00	99.95	92.45	.	100.00	.	100.00	100.00	100.00;99.68	99.96	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	99.71;98.95	100.00	.	.	.	.	.	99.74	.	.	.	99.79	.	.	.	.	100.00	100.00	.	100.00
ESC_AA9022AA_AS_abricate.tsv	31	100.00	.	.	.	.	.	100.00	100.00	.	.	.	100.00	90.42	.	.	.	.	100.00	100.00	100.00	99.47	100.00	100.00	100.00	.	.	100.00	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	99.96	.	.	.	.	.	100.00	.	100.00	.	.	.	.	100.00	.	.	96.59	.	100.00	100.00	99.72	.	100.00	.	.	.	.	100.00
ESC_AA9046AA_AS_abricate.tsv	27	100.00	.	100.00	100.00	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	99.24	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	99.68	100.00	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	99.79	.	.	.	100.00	100.00	100.00	.	100.00
ESC_AA9127AA_AS_abricate.tsv	33	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	100.00	100.00	100.00	.	100.00	.	.	100.00	100.00	.	100.00	.	95.47;98.49	.	100.00	.	100.00	100.00	100.00;99.68;97.41	99.96	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	98.80	.	100.00	99.76	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_AA9137AA_AS_abricate.tsv	55	100.00	.	.	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	99.78	100.00	100.00	100.00	100.00	.	.	100.00	100.00	.	100.00	.	100.00	94.84	.	100.00	100.00	100.00	100.00	99.68	99.96	100.00	100.00	100.00	100.00	100.00	97.72	98.02	.	99.93	.	100.00	.	100.00	100.00	100.00	.	.	100.00	100.00	99.74	100.00	99.64	100.00	100.00	99.89	100.00	100.00	100.00	100.00	.	100.00	100.00
ESC_AA9152AA_AS_abricate.tsv	22	100.00	.	.	.	100.00	.	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.78	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	99.93	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	100.00
ESC_AA9180AA_AS_abricate.tsv	21	100.00	.	100.00	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	99.83	.	.	.	.	.	.	99.76	.	.	.	.	99.86	100.00	.	100.00
ESC_AA9227AA_AS_abricate.tsv	21	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	99.90	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	99.31	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_AA9242AA_AS_abricate.tsv	20	100.00	.	100.00	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	100.00	.	100.00	100.00	100.00	.	100.00	.	.	.	.	100.00	.	.	.	.	99.12	.	99.93	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	99.76	.	.	100.00	.	100.00	100.00	.	100.00
ESC_AA9275AA_AS_abricate.tsv	25	100.00	.	100.00;99.84;100.00	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	99.68	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	99.83	100.00	.	.	.	.	100.00	99.31	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_AA9276AA_AS_abricate.tsv	43	100.00	.	.	.	100.00	.	100.00	100.00	.	100.00	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	99.78	100.00	100.00	100.00	100.00	.	.	100.00	100.00	.	.	.	100.00	.	.	100.00	100.00	.	100.00	99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	99.93	.	100.00	.	100.00	100.00	100.00	.	.	.	.	99.74	100.00	99.89	100.00	100.00	99.89	99.97	100.00	.	100.00	.	100.00	100.00
ESC_AA9297AA_AS_abricate.tsv	22	100.00	.	82.24;100.00	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	99.76	.	.	.	.	99.86	100.00	.	100.00
ESC_AA9305AA_AS_abricate.tsv	21	100.00	.	100.00	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.86	100.00	.	100.00
ESC_AA9316AA_AS_abricate.tsv	36	100.00	.	.	100.00	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	99.47	100.00	100.00	100.00	100.00	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	99.68	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	100.00	100.00	.	.	.	.	.	.	96.55	99.47	100.00	99.12	.	.	.	100.00	100.00	.	100.00	100.00
ESC_AA9335AA_AS_abricate.tsv	23	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	97.41	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	99.31	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_AA9365AA_AS_abricate.tsv	26	100.00	.	81.36	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	.	100.00	.	.	.	.	99.93	.	.	.	99.68	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	99.28	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_AA9368AA_AS_abricate.tsv	26	100.00	.	.	100.00	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	99.92	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	97.41	87.41	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	99.31	.	.	100.00	.	100.00	100.00	.	100.00
ESC_AA9378AA_AS_abricate.tsv	30	100.00	.	100.00	.	.	.	100.00	99.40	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	.	.	100.00	99.95	.	.	100.00	.	.	.	100.00;99.68	99.96	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	100.00	99.76	.	.	.	100.00	100.00	.	100.00	100.00
ESC_AA9398AA_AS_abricate.tsv	26	100.00	.	99.84;100.00	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	.	.	.	99.93	.	.	.	99.68	100.00	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	83.20;100.00	.	.	.	.	100.00	99.28	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_AA9402AA_AS_abricate.tsv	19	100.00	.	.	.	.	.	100.00	100.00	.	.	.	100.00	.	.	.	.	.	99.92	100.00	100.00	100.00	100.00	.	87.17	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	98.95	100.00	.	.	.	.	.	.	.	.	100.00	99.79	.	.	.	.	.	100.00	.	100.00
ESC_AA9449AA_AS_abricate.tsv	23	100.00	.	.	.	.	.	.	99.40	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	97.41	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;83.20	.	.	.	.	100.00	99.28	.	.	100.00	95.81	100.00	100.00	.	100.00
