barcode	ST
ESC_CA0970AA_AS	59
ESC_RA3049AA_AS	617
ESC_LB2695AA_AS	635
ESC_RA8673AA_AS	641
ESC_VA9586AA_AS	641
ESC_NB6903AA_AS	648
ESC_UA7133AA_AS	655
ESC_TA8029AA_AS	675
ESC_BA1212AA_AS	675
ESC_YA3640AA_AS	69
ESC_HA5035AA_AS	69
ESC_MB6418AA_AS	718
ESC_IA3088AA_AS	718
ESC_ZA3463AA_AS	718
ESC_BA3510AA_AS	73
ESC_IA9612AA_AS	744
ESC_BA3756AA_AS	746
ESC_IA4051AA_AS	746
ESC_OB0956AA_AS	746
ESC_RA3628AA_AS	746
ESC_CB8831AA_AS	90
ESC_GA6627AA_AS	906
ESC_QA0219AA_AS	93
ESC_NB4846AA_AS	95
ESC_WA0007AA_AS	10
ESC_WA9090AA_AS	10
ESC_BA5960AA_AS	100
ESC_WA6645AA_AS	100
ESC_YA7849AA_AS	100
ESC_WA3814AA_AS	101
ESC_CA5684AA_AS	1060
ESC_ZA4675AA_AS	1079
ESC_RA7993AA_AS	11
ESC_JA7872AA_AS	11
ESC_RB2222AA_AS	117
ESC_RB2035AA_AS	117
ESC_KB8635AA_AS	1196
ESC_MA0268AA_AS	12
ESC_HA4313AA_AS	131
ESC_BA8439AA_AS	141
ESC_EB9004AA_AS	145
ESC_EB9053AA_AS	148
ESC_GB2603AA_AS	154
ESC_NB4085AA_AS	162
ESC_FB4507AA_AS	165
ESC_RA9962AA_AS	165
ESC_BA2230AA_AS	17
ESC_CB5141AA_AS	17
ESC_SA1209AA_AS	182
ESC_FA9527AA_AS	189
ESC_EB1078AA_AS	189
ESC_WA9263AA_AS	20
ESC_SA6855AA_AS	20
ESC_ZA6304AA_AS	206
ESC_QA9287AA_AS	223
ESC_UA5609AA_AS	226
ESC_FB9372AA_AS	23
ESC_MB2201AA_AS	23
ESC_LB9575AA_AS	29
ESC_BB0015AA_AS	295
ESC_HA6354AA_AS	295
ESC_KB8691AA_AS	306
ESC_FB9108AA_AS	32
ESC_GA9242AA_AS	33
ESC_LB5882AA_AS	34
ESC_ZA1510AA_AS	34
ESC_GB2573AA_AS	34
ESC_GA5647AA_AS	342
ESC_TA2341AA_AS	345
ESC_LB8171AA_AS	345
ESC_GA5749AA_AS	354
ESC_NB3487AA_AS	3580
ESC_QA3436AA_AS	3580
ESC_ZA8870AA_AS	362
ESC_FB9247AA_AS	372
ESC_LA2993AA_AS	38
ESC_FA7252AA_AS	38
ESC_NB3835AA_AS	394
ESC_SA1010AA_AS	399
ESC_MB6610AA_AS	399
ESC_TA4168AA_AS	40
ESC_HA6359AA_AS	43
ESC_KA3840AA_AS	43
ESC_GA0662AA_AS	442
ESC_LB9191AA_AS	442
ESC_LB0165AA_AS	448
ESC_CB4000AA_AS	46
ESC_MB2477AA_AS	48
ESC_LA0399AA_AS	48
ESC_WA3780AA_AS	540
ESC_LB2239AA_AS	542
ESC_UA1673AA_AS	542
ESC_GA2980AA_AS	56
ESC_IA3496AA_AS	58
ESC_AA9152AA_AS	583
ESC_HA2184AA_AS	583
ESC_BA8853AA_AS	62
ESC_WA6930AA_AS	62
ESC_PA8939AA_AS	635
ESC_TA3833AA_AS	648
ESC_ZA2909AA_AS	655
ESC_GA5846AA_AS	655
ESC_TA6917AA_AS	73
ESC_ZA1570AA_AS	744
ESC_MB4786AA_AS	746
ESC_ZA1574AA_AS	752
ESC_SA4802AA_AS	752
ESC_LB8116AA_AS	752
ESC_BA4298AA_AS	88
ESC_HB8581AA_AS	88
ESC_OA1206AA_AS	88
ESC_OB1124AA_AS	90
ESC_UA2155AA_AS	906
ESC_ZA5792AA_AS	906
ESC_QA0537AA_AS	93
ESC_QA0902AA_AS	93
ESC_QA5479AA_AS	95
ESC_MB7573AA_AS	10
ESC_GB5007AA_AS	1025
ESC_RA4716AA_AS	1079
ESC_SA5868AA_AS	11
ESC_WA4069AA_AS	117
ESC_LB4670AA_AS	1196
ESC_MA2712AA_AS	131
ESC_CA3326AA_AS	141
ESC_EB8385AA_AS	145
ESC_HA0665AA_AS	146
ESC_HB5525AA_AS	148
ESC_NA8125AA_AS	156
ESC_QA3883AA_AS	156
ESC_IA1854AA_AS	16
ESC_KA2262AA_AS	16
ESC_FA9904AA_AS	165
ESC_CB1625AA_AS	17
ESC_SA4485AA_AS	189
ESC_WA7981AA_AS	20
ESC_UA7364AA_AS	20
ESC_CB8720AA_AS	20
ESC_CB4638AA_AS	206
ESC_GA9491AA_AS	21
ESC_CB7288AA_AS	223
ESC_MA3790AA_AS	224
ESC_MB2537AA_AS	224
ESC_NB5312AA_AS	226
ESC_GB2596AA_AS	23
ESC_IB6301AA_AS	23
ESC_SA4763AA_AS	245
ESC_VA6872AA_AS	25
ESC_PB4989AA_AS	25
ESC_RA8165AA_AS	25
ESC_IA1444AA_AS	29
ESC_RA2597AA_AS	295
ESC_WA4763AA_AS	297
ESC_RA1385AA_AS	297
ESC_LB9653AA_AS	300
ESC_SA4180AA_AS	300
ESC_SA4885AA_AS	306
ESC_FB9118AA_AS	32
ESC_OA1743AA_AS	32
ESC_KA2426AA_AS	33
ESC_RA9820AA_AS	34
ESC_CB1868AA_AS	342
ESC_RA9883AA_AS	342
ESC_GB2973AA_AS	345
ESC_IB8342AA_AS	349
ESC_TA2500AA_AS	362
ESC_HB8633AA_AS	362
ESC_TA1533AA_AS	372
ESC_IA4078AA_AS	38
ESC_BA2755AA_AS	38
ESC_OB1034AA_AS	393
ESC_NA2768AA_AS	399
ESC_RA9398AA_AS	4
ESC_QB3156AA_AS	405
ESC_IA8861AA_AS	405
ESC_MA9959AA_AS	410
ESC_WA6953AA_AS	43
ESC_LA6212AA_AS	443
ESC_HA8208AA_AS	453
ESC_CB3985AA_AS	46
ESC_RA9803AA_AS	540
ESC_WA4598AA_AS	6
ESC_JA4446AA_AS	6
ESC_UA1641AA_AS	602
ESC_FA9743AA_AS	602
ESC_KB8806AA_AS	602
ESC_GA6603AA_AS	617
ESC_IA1928AA_AS	62
ESC_NA8210AA_AS	641
ESC_IA7275AA_AS	648
ESC_FB3578AA_AS	648
ESC_GA5529AA_AS	655
ESC_HA6618AA_AS	69
ESC_MB6315AA_AS	718
ESC_CB2884AA_AS	73
ESC_IB6264AA_AS	744
ESC_IB8003AA_AS	744
ESC_LA0879AA_AS	746
ESC_GB8935AA_AS	746
ESC_GB3476AA_AS	752
ESC_NB4740AA_AS	752
ESC_LB9637AA_AS	752
ESC_NB8575AA_AS	88
ESC_RA9493AA_AS	88
ESC_TA2204AA_AS	88
ESC_NB1781AA_AS	90
ESC_IB7757AA_AS	90
ESC_GB5504AA_AS	90
ESC_RA4015AA_AS	906
ESC_RA0395AA_AS	95
ESC_CB9175AA_AS	100
ESC_OB3809AA_AS	10
ESC_RA3297AA_AS	101
ESC_BB6243AA_AS	101
ESC_SA9093AA_AS	1025
ESC_EB6248AA_AS	1025
ESC_WA2273AA_AS	1025
ESC_QA5148AA_AS	1079
ESC_OA4808AA_AS	11
ESC_KB9728AA_AS	117
ESC_LA2886AA_AS	1193
ESC_GA5185AA_AS	1196
ESC_RA5088AA_AS	1196
ESC_SA2835AA_AS	141
ESC_EB8102AA_AS	148
ESC_ZA5150AA_AS	154
ESC_DB2653AA_AS	155
ESC_HA8461AA_AS	156
ESC_GB2044AA_AS	156
ESC_HA5481AA_AS	16
ESC_RA3605AA_AS	16
ESC_OB1545AA_AS	162
ESC_SA4916AA_AS	17
ESC_VA2546AA_AS	226
ESC_AA9242AA_AS	226
ESC_NB1764AA_AS	23
ESC_NB1885AA_AS	278
ESC_IA6452AA_AS	29
ESC_OB1290AA_AS	295
ESC_HA0847AA_AS	306
ESC_GA6797AA_AS	32
ESC_HA3246AA_AS	34
ESC_GB9958AA_AS	349
ESC_NA8087AA_AS	349
ESC_SA9916AA_AS	349
ESC_XA1369AA_AS	349
ESC_CB3913AA_AS	3580
ESC_HB0030AA_AS	3580
ESC_RB8786AA_AS	372
ESC_MB3351AA_AS	372
ESC_CB9483AA_AS	38
ESC_YA3447AA_AS	393
ESC_FB2768AA_AS	394
ESC_RA9189AA_AS	398
ESC_WA3349AA_AS	398
ESC_NB1894AA_AS	399
ESC_XA0577AA_AS	405
ESC_GB3814AA_AS	405
ESC_NA8162AA_AS	410
ESC_WA8688AA_AS	428
ESC_LA6168AA_AS	443
ESC_MB1948AA_AS	443
ESC_OA1100AA_AS	448
ESC_MA3690AA_AS	448
ESC_FB4846AA_AS	453
ESC_JB0616AA_AS	48
ESC_FB2942AA_AS	59
ESC_HA1848AA_AS	59
ESC_JA4435AA_AS	6
ESC_UA5659AA_AS	602
ESC_VA6180AA_AS	617
ESC_NB8493AA_AS	635
ESC_LA0674AA_AS	648
ESC_BA2602AA_AS	648
ESC_BA1008AA_AS	648
ESC_UA7139AA_AS	655
ESC_PA2320AA_AS	675
ESC_SA1944AA_AS	675
ESC_NA8365AA_AS	69
ESC_HA6855AA_AS	73
ESC_NA9505AA_AS	746
ESC_CA0218AA_AS	746
ESC_QA3826AA_AS	752
ESC_KB3941AA_AS	906
ESC_WA3003AA_AS	93
ESC_CA2823AA_AS	95
ESC_HB0025AA_AS	100
ESC_RA4096AA_AS	11
ESC_NB1881AA_AS	117
ESC_TA1735AA_AS	1193
ESC_PA8353AA_AS	1193
ESC_GB1048AA_AS	1196
ESC_PA8559AA_AS	1196
ESC_RA6654AA_AS	1196
ESC_NB9884AA_AS	141
ESC_EB6979AA_AS	145
ESC_SA2161AA_AS	145
ESC_GA1163AA_AS	146
ESC_RA3380AA_AS	148
ESC_NB3545AA_AS	154
ESC_TA6968AA_AS	154
ESC_LA0074AA_AS	155
ESC_HA5969AA_AS	155
ESC_JB9596AA_AS	155
ESC_HA2743AA_AS	156
ESC_NB6673AA_AS	156
ESC_QA3989AA_AS	16
ESC_SA6342AA_AS	16
ESC_PA8411AA_AS	162
ESC_BA6792AA_AS	17
ESC_LB0295AA_AS	182
ESC_NB6784AA_AS	182
ESC_HA8980AA_AS	1967
ESC_GB3396AA_AS	20
ESC_GA1620AA_AS	21
ESC_RA8706AA_AS	21
ESC_RB8539AA_AS	224
ESC_ZA2655AA_AS	224
ESC_BA8064AA_AS	226
ESC_HB8767AA_AS	23
ESC_OB1345AA_AS	23
ESC_GB0449AA_AS	23
ESC_SA1892AA_AS	243
ESC_KB3271AA_AS	245
ESC_EB8703AA_AS	245
ESC_NB8025AA_AS	245
ESC_GB7313AA_AS	25
ESC_UA2946AA_AS	278
ESC_NB8215AA_AS	29
ESC_MA8842AA_AS	295
ESC_IA6957AA_AS	300
ESC_KA6830AA_AS	300
ESC_BA6273AA_AS	300
ESC_FB7813AA_AS	32
ESC_UA0280AA_AS	33
ESC_SA5776AA_AS	33
ESC_FB3929AA_AS	33
ESC_HA6120AA_AS	342
ESC_HA8228AA_AS	349
ESC_RA7352AA_AS	354
ESC_XA6503AA_AS	354
ESC_TA2494AA_AS	362
ESC_RA8327AA_AS	372
ESC_IB9081AA_AS	38
ESC_HA3224AA_AS	393
ESC_LB3275AA_AS	398
ESC_MB6593AA_AS	399
ESC_KB3628AA_AS	405
ESC_LA6064AA_AS	428
ESC_HB0067AA_AS	43
ESC_FA9603AA_AS	443
ESC_CB7195AA_AS	448
ESC_VA2262AA_AS	448
ESC_OB6261AA_AS	453
ESC_QA6402AA_AS	457
ESC_LB5572AA_AS	457
ESC_GB9888AA_AS	46
ESC_TA2355AA_AS	46
ESC_IB6221AA_AS	46
ESC_IA3572AA_AS	48
ESC_FA7979AA_AS	48
ESC_ZA1572AA_AS	540
ESC_PA1618AA_AS	57
ESC_HA7900AA_AS	58
ESC_LB7037AA_AS	58
ESC_ZA4585AA_AS	58
ESC_UA7372AA_AS	583
ESC_YA7812AA_AS	59
ESC_NA2857AA_AS	59
ESC_XA9699AA_AS	6
ESC_FB2858AA_AS	62
ESC_LA0656AA_AS	641
ESC_HA9926AA_AS	655
ESC_GA6705AA_AS	655
ESC_YA3376AA_AS	69
ESC_HA6805AA_AS	69
ESC_TA7275AA_AS	69
ESC_XA1163AA_AS	73
ESC_LA2705AA_AS	73
ESC_IB9241AA_AS	73
ESC_WA6758AA_AS	744
ESC_JA0225AA_AS	744
ESC_OA0020AA_AS	746
ESC_CA1493AA_AS	88
ESC_GA8640AA_AS	88
ESC_MB0415AA_AS	88
ESC_NA3057AA_AS	906
ESC_QA2815AA_AS	93
ESC_QA0264AA_AS	93
ESC_QA0252AA_AS	93
ESC_NA4070AA_AS	95
ESC_RA9488AA_AS	10
ESC_QA6695AA_AS	101
ESC_OB1395AA_AS	1060
ESC_RA0597AA_AS	10
ESC_WA6627AA_AS	100
ESC_LB7223AA_AS	101
ESC_GB8565AA_AS	10
ESC_YA7856AA_AS	100
ESC_LA4583AA_AS	101
ESC_RA1674AA_AS	11
ESC_GA9225AA_AS	1193
ESC_RA2132AA_AS	1196
ESC_NA7806AA_AS	127
ESC_XA1660AA_AS	127
ESC_NB8689AA_AS	131
ESC_IB6637AA_AS	131
ESC_LB6983AA_AS	131
ESC_CA2971AA_AS	145
ESC_GA1052AA_AS	146
ESC_GA0835AA_AS	146
ESC_GB5194AA_AS	148
ESC_EB9808AA_AS	148
ESC_EB8124AA_AS	148
ESC_JA7024AA_AS	148
ESC_HB7160AA_AS	155
ESC_LA5888AA_AS	156
ESC_LA6067AA_AS	156
ESC_BA6214AA_AS	165
ESC_IA4842AA_AS	165
ESC_MB2584AA_AS	165
ESC_WA2582AA_AS	167
ESC_SA1203AA_AS	182
ESC_NB6806AA_AS	182
ESC_GB3417AA_AS	182
ESC_GB1415AA_AS	189
ESC_LB8503AA_AS	189
ESC_TA7469AA_AS	189
ESC_XA0845AA_AS	189
ESC_SA9675AA_AS	1967
ESC_IA4841AA_AS	206
ESC_NB5461AA_AS	206
ESC_KA6983AA_AS	223
ESC_NB4246AA_AS	224
ESC_RA7358AA_AS	224
ESC_PA8929AA_AS	226
ESC_RB8419AA_AS	23
ESC_SA6884AA_AS	245
ESC_NB1957AA_AS	25
ESC_LA1542AA_AS	278
ESC_HA4815AA_AS	29
ESC_KA6749AA_AS	295
ESC_UA3335AA_AS	297
ESC_GA0783AA_AS	306
ESC_LB1133AA_AS	32
ESC_BA9439AA_AS	32
ESC_EB1083AA_AS	33
ESC_HB8561AA_AS	34
ESC_NB6415AA_AS	345
ESC_IA1938AA_AS	354
ESC_IA3707AA_AS	3580
ESC_MA0291AA_AS	393
ESC_AA9566AA_AS	393
ESC_LB5862AA_AS	394
ESC_HA7979AA_AS	398
ESC_BA4963AA_AS	398
ESC_RA4956AA_AS	398
ESC_LA1813AA_AS	4
ESC_CA2948AA_AS	4
ESC_JA3773AA_AS	40
ESC_GA8854AA_AS	40
ESC_MB9053AA_AS	405
ESC_LA2709AA_AS	405
ESC_NB6035AA_AS	410
ESC_LA6048AA_AS	428
ESC_HA8435AA_AS	43
ESC_MA2406AA_AS	43
ESC_MA3620AA_AS	448
ESC_HA4181AA_AS	448
ESC_GB9344AA_AS	46
ESC_CB3894AA_AS	46
ESC_PA9093AA_AS	540
ESC_TA4055AA_AS	540
ESC_MB3274AA_AS	542
ESC_GB2990AA_AS	57
ESC_IB9328AA_AS	57
ESC_KB3857AA_AS	57
ESC_BA7813AA_AS	583
ESC_RA3911AA_AS	583
ESC_TA7444AA_AS	6
ESC_KA4881AA_AS	6
ESC_UA2023AA_AS	602
ESC_WA7307AA_AS	602
ESC_LB2536AA_AS	602
ESC_GB1397AA_AS	602
ESC_JA0795AA_AS	617
ESC_MB1958AA_AS	617
ESC_RA9387AA_AS	617
ESC_OB8017AA_AS	617
ESC_UA6000AA_AS	62
ESC_QA5179AA_AS	648
ESC_SA7137AA_AS	655
ESC_SA1229AA_AS	675
ESC_QA8039AA_AS	69
ESC_CB4294AA_AS	718
ESC_NB9836AA_AS	718
ESC_IB7884AA_AS	744
ESC_WA6808AA_AS	744
ESC_TA9972AA_AS	752
ESC_NB2664AA_AS	752
ESC_QA3809AA_AS	752
ESC_ZA5291AA_AS	906
ESC_LB0714AA_AS	906
ESC_CA4192AA_AS	95
ESC_RA0420AA_AS	998
ESC_UA2192AA_AS	1025
ESC_HB0039AA_AS	1079
ESC_QA3922AA_AS	101
ESC_IA6821AA_AS	101
ESC_IA5544AA_AS	117
ESC_VA9716AA_AS	117
ESC_GA9303AA_AS	1193
ESC_MA7507AA_AS	1196
ESC_WA3979AA_AS	12
ESC_ZA6503AA_AS	141
ESC_GA1018AA_AS	146
ESC_UA2787AA_AS	148
ESC_KA4319AA_AS	148
ESC_HB6678AA_AS	148
ESC_LA1205AA_AS	156
ESC_NB8562AA_AS	162
ESC_RB9866AA_AS	165
ESC_KA7572AA_AS	17
ESC_CB7066AA_AS	1967
ESC_FA5558AA_AS	1967
ESC_ZA9941AA_AS	21
ESC_IB9153AA_AS	21
ESC_BA5188AA_AS	223
ESC_RA2071AA_AS	224
ESC_JB8349AA_AS	224
ESC_CA0084AA_AS	29
ESC_AA9398AA_AS	29
ESC_NA9259AA_AS	295
ESC_FA7707AA_AS	295
ESC_WA5072AA_AS	297
ESC_HB6686AA_AS	300
ESC_LA4757AA_AS	32
ESC_NB8225AA_AS	33
ESC_SB5229AA_AS	33
ESC_XA1073AA_AS	345
ESC_BA1219AA_AS	345
ESC_YA1207AA_AS	354
ESC_NB6178AA_AS	354
ESC_ZA2672AA_AS	38
ESC_JB8377AA_AS	393
ESC_JB3316AA_AS	398
ESC_KB0955AA_AS	398
ESC_AA9305AA_AS	4
ESC_MA4020AA_AS	4
ESC_BA0469AA_AS	4
ESC_WA7456AA_AS	410
ESC_UA1878AA_AS	428
ESC_ZA5900AA_AS	442
ESC_GA9012AA_AS	442
ESC_BA3185AA_AS	443
ESC_LB0167AA_AS	448
ESC_ZA6859AA_AS	448
ESC_NB5998AA_AS	453
ESC_ZA9875AA_AS	540
ESC_PA1600AA_AS	57
ESC_JB9501AA_AS	57
ESC_VA4673AA_AS	617
ESC_FB2681AA_AS	62
ESC_GA7079AA_AS	655
ESC_RA5266AA_AS	655
ESC_TA2491AA_AS	69
ESC_DB0201AA_AS	718
ESC_WA6967AA_AS	73
ESC_KB9764AA_AS	752
ESC_GB8781AA_AS	88
ESC_MB8749AA_AS	90
ESC_GA6641AA_AS	90
ESC_FA7430AA_AS	906
ESC_XA8021AA_AS	93
ESC_SA9825AA_AS	1060
ESC_BA8034AA_AS	100
ESC_WA6657AA_AS	100
ESC_WA9098AA_AS	10
ESC_MB8983AA_AS	117
ESC_HA6355AA_AS	12
ESC_CA5423AA_AS	12
ESC_WA5387AA_AS	127
ESC_IB6389AA_AS	141
ESC_IB7501AA_AS	141
ESC_GA0939AA_AS	146
ESC_GA0851AA_AS	146
ESC_IA7029AA_AS	156
ESC_CA1320AA_AS	156
ESC_IA9911AA_AS	156
ESC_PA7808AA_AS	16
ESC_LB9669AA_AS	162
ESC_CB8892AA_AS	165
ESC_MB1947AA_AS	167
ESC_HA7184AA_AS	167
ESC_PA5785AA_AS	17
ESC_MA3989AA_AS	182
ESC_NB6779AA_AS	182
ESC_ZA8780AA_AS	1967
ESC_KA6942AA_AS	1967
ESC_LA5238AA_AS	20
ESC_KB3577AA_AS	206
ESC_LB6051AA_AS	206
ESC_OB2578AA_AS	206
ESC_GA0226AA_AS	21
ESC_ZA6430AA_AS	224
ESC_TA4450AA_AS	224
ESC_LA0623AA_AS	226
ESC_IB3973AA_AS	243
ESC_EB8072AA_AS	243
ESC_GB4847AA_AS	245
ESC_GB1734AA_AS	278
ESC_KB8901AA_AS	295
ESC_NA9267AA_AS	295
ESC_JA0138AA_AS	297
ESC_NB5242AA_AS	300
ESC_RA2304AA_AS	306
ESC_PA5892AA_AS	33
ESC_BB2531AA_AS	372
ESC_GA8913AA_AS	38
ESC_LB0487AA_AS	399
ESC_RA3580AA_AS	399
ESC_RA4630AA_AS	43
ESC_IB7818AA_AS	43
ESC_LA6166AA_AS	443
ESC_ZA5275AA_AS	48
ESC_CB4116AA_AS	542
ESC_KA8191AA_AS	56
ESC_GB6971AA_AS	57
ESC_SA1356AA_AS	6
ESC_IA1250AA_AS	6
ESC_GB7101AA_AS	602
ESC_LA1233AA_AS	602
ESC_NA0095AA_AS	617
ESC_UA6405AA_AS	62
ESC_PA8201AA_AS	635
ESC_NB6253AA_AS	641
ESC_NA8411AA_AS	655
ESC_HA9178AA_AS	655
ESC_OA1910AA_AS	675
ESC_BA7167AA_AS	69
ESC_NB5732AA_AS	69
ESC_MB6449AA_AS	718
ESC_HA6035AA_AS	718
ESC_FA9765AA_AS	746
ESC_MB8759AA_AS	90
ESC_IB6509AA_AS	90
ESC_HA5122AA_AS	998
ESC_NB5445AA_AS	117
ESC_CB2591AA_AS	1025
ESC_QA5082AA_AS	11
ESC_CB4564AA_AS	117
ESC_DB0064AA_AS	10
ESC_IB9755AA_AS	100
ESC_WA6530AA_AS	1060
ESC_WA9082AA_AS	11
ESC_SA2624AA_AS	1025
ESC_TA3945AA_AS	1193
ESC_LA2747AA_AS	12
ESC_UA5999AA_AS	127
ESC_SA2871AA_AS	131
ESC_JA0444AA_AS	131
ESC_TA1890AA_AS	131
ESC_KB4090AA_AS	141
ESC_YA1652AA_AS	141
ESC_HA1730AA_AS	141
ESC_SA3037AA_AS	145
ESC_BA6232AA_AS	146
ESC_BB8909AA_AS	154
ESC_GB8597AA_AS	155
ESC_RA2177AA_AS	156
ESC_SA7871AA_AS	16
ESC_GB7102AA_AS	165
ESC_CB4316AA_AS	17
ESC_CA6442AA_AS	17
ESC_QA6143AA_AS	17
ESC_LB0116AA_AS	182
ESC_UA1015AA_AS	189
ESC_FA5538AA_AS	1967
ESC_GA6510AA_AS	1967
ESC_CA3050AA_AS	206
ESC_MB2421AA_AS	206
ESC_GA5537AA_AS	21
ESC_FA7156AA_AS	223
ESC_NA9115AA_AS	223
ESC_YA1403AA_AS	224
ESC_IB8552AA_AS	226
ESC_PA0881AA_AS	226
ESC_SA4246AA_AS	243
ESC_EB5849AA_AS	245
ESC_PA4856AA_AS	278
ESC_QA3855AA_AS	295
ESC_BA7240AA_AS	295
ESC_HB6193AA_AS	300
ESC_RA7523AA_AS	33
ESC_HB5739AA_AS	33
ESC_SA4953AA_AS	34
ESC_SA6613AA_AS	34
ESC_GA5606AA_AS	342
ESC_IB7558AA_AS	345
ESC_ZA5630AA_AS	345
ESC_YA3721AA_AS	354
ESC_UA1325AA_AS	3580
ESC_WA4234AA_AS	393
ESC_LB0483AA_AS	398
ESC_UA3303AA_AS	399
ESC_MA3922AA_AS	4
ESC_BA4430AA_AS	4
ESC_WA7419AA_AS	410
ESC_IA0231AA_AS	443
ESC_KB0921AA_AS	448
ESC_TA0152AA_AS	448
ESC_IB7389AA_AS	453
ESC_UA6083AA_AS	453
ESC_JB8215AA_AS	457
ESC_LA1071AA_AS	48
ESC_KB1709AA_AS	540
ESC_MB2624AA_AS	542
ESC_KB3595AA_AS	58
ESC_PA9516AA_AS	583
ESC_JA4803AA_AS	6
ESC_NA3048AA_AS	602
ESC_LB7079AA_AS	617
ESC_SA9403AA_AS	641
ESC_PA0913AA_AS	641
ESC_RA0271AA_AS	648
ESC_CB3918AA_AS	648
ESC_NA7941AA_AS	648
ESC_QB6249AA_AS	675
ESC_DB2518AA_AS	675
ESC_CA0162AA_AS	69
ESC_NB5769AA_AS	73
ESC_KA9915AA_AS	746
ESC_LB3017AA_AS	752
ESC_VA6706AA_AS	752
ESC_GB3379AA_AS	88
ESC_ZA9881AA_AS	93
ESC_YA3558AA_AS	998
ESC_IA1442AA_AS	11
ESC_SA8563AA_AS	11
ESC_LB0396AA_AS	10
ESC_EB6203AA_AS	1025
ESC_UA5827AA_AS	101
ESC_OB1406AA_AS	1060
ESC_MA7310AA_AS	1025
ESC_RA4390AA_AS	1079
ESC_MA3092AA_AS	1196
ESC_LA0244AA_AS	1196
ESC_FB9664AA_AS	12
ESC_YA3572AA_AS	12
ESC_IB6539AA_AS	12
ESC_WA9777AA_AS	127
ESC_CA2382AA_AS	127
ESC_GA0055AA_AS	127
ESC_PA1091AA_AS	131
ESC_WA2770AA_AS	131
ESC_EB9123AA_AS	145
ESC_AB1901AA_AS	148
ESC_DB1921AA_AS	154
ESC_GB3989AA_AS	154
ESC_FA6514AA_AS	155
ESC_NA0018AA_AS	156
ESC_CA6250AA_AS	156
ESC_LB4147AA_AS	16
ESC_IB9609AA_AS	162
ESC_NA8042AA_AS	167
ESC_FB1157AA_AS	17
ESC_MA4071AA_AS	182
ESC_LB0119AA_AS	189
ESC_UA5598AA_AS	189
ESC_ZA6070AA_AS	189
ESC_LA1385AA_AS	1967
ESC_AB7761AA_AS	20
ESC_NB5481AA_AS	206
ESC_OB1141AA_AS	206
ESC_CB1700AA_AS	223
ESC_WA2735AA_AS	224
ESC_TA2684AA_AS	224
ESC_YA3621AA_AS	224
ESC_PA0896AA_AS	226
ESC_LB7086AA_AS	226
ESC_BA4340AA_AS	23
ESC_EB5847AA_AS	245
ESC_KB3266AA_AS	245
ESC_JA4496AA_AS	25
ESC_BA2927AA_AS	278
ESC_OA4903AA_AS	29
ESC_GB9227AA_AS	295
ESC_RA1378AA_AS	297
ESC_NA8003AA_AS	297
ESC_WA4803AA_AS	297
ESC_TA0070AA_AS	306
ESC_IB8688AA_AS	32
ESC_BA1457AA_AS	34
ESC_CB6482AA_AS	342
ESC_HA2465AA_AS	342
ESC_WA6548AA_AS	345
ESC_HA7280AA_AS	349
ESC_JB3615AA_AS	354
ESC_CA4642AA_AS	362
ESC_RB8771AA_AS	372
ESC_UA6413AA_AS	372
ESC_OB9109AA_AS	38
ESC_SA1570AA_AS	38
ESC_NA8235AA_AS	38
ESC_HA3342AA_AS	393
ESC_MB6615AA_AS	399
ESC_HB5594AA_AS	399
