Assembly_barcode	year_range	year_range_colour	Disease	Disease_color	Isolate source	isolate_source_colour	Capsule_color	Best match locus	Continent	continent_color
ESC_UA5515AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	KL31	Europe	#a6cee3
ESC_UA5523AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_HA9650AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_HA9600AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#29c722	KL127	Europe	#a6cee3
ESC_HA9547AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	KL31	Europe	#a6cee3
ESC_HA9546AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	KL31	Europe	#a6cee3
ESC_IA1788AA_AS	2010-2014	#1f78b4	other	#afafaf			#afafaf	Unassigned	Europe	#a6cee3
ESC_IA7977AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_IA7980AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_IA7994AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_IA3291AA_AS	NA	white	other	#afafaf			#6A3D9A	KL20	NA	NA
ESC_IA6359AA_AS	NA	white	other	#afafaf			#E31A1C	KL57	NA	NA
ESC_IA7512AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_IA8066AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_JA0577AA_AS	NA	white	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_JA0572AA_AS	NA	white	other	#afafaf	Human	#fdc086	#FF7F00	KL35	Europe	#a6cee3
ESC_JA0213AA_AS	NA	white	other	#afafaf	Human	#fdc086	#005A9C	KL115	Europe	#a6cee3
ESC_JA0067AA_AS	NA	white	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_IA9974AA_AS	NA	white	other	#afafaf	Human	#fdc086	#904f02	KL158	Europe	#a6cee3
ESC_JA0437AA_AS	NA	white	other	#afafaf	Human	#fdc086	#FF7F00	KL35	Europe	#a6cee3
ESC_IA9760AA_AS	NA	white	other	#afafaf	Human	#fdc086	#5d7499	KL58	Europe	#a6cee3
ESC_IA9725AA_AS	NA	white	other	#afafaf	Human	#fdc086	#29c722	KL127	Europe	#a6cee3
ESC_JA0128AA_AS	NA	white	other	#afafaf	Human	#fdc086	#29c722	KL127	Europe	#a6cee3
ESC_IA9720AA_AS	NA	white	other	#afafaf	Human	#fdc086	#29c722	KL127	Europe	#a6cee3
ESC_IA9132AA_AS	NA	white	other	#afafaf	Human	#fdc086	#6A3D9A	KL20	Europe	#a6cee3
ESC_IA9006AA_AS	NA	white	other	#afafaf	Human	#fdc086	#005A9C	KL115	Europe	#a6cee3
ESC_IA9005AA_AS	NA	white	other	#afafaf	Human	#fdc086	#005A9C	KL115	Europe	#a6cee3
ESC_JA0333AA_AS	NA	white	other	#afafaf	Human	#fdc086	#904f02	KL158	Europe	#a6cee3
ESC_JA5254AA_AS	NA	white	other	#afafaf			#afafaf	KL31	NA	NA
ESC_KA1988AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	Europe	#a6cee3
ESC_KA4855AA_AS	2015-2019	#fdae61	other	#afafaf			#6A3D9A	KL20	Europe	#a6cee3
ESC_KA7801AA_AS	2010-2014	#1f78b4	UTI/urine	#ffff33	Human	#fdc086	#005A9C	KL115	Asia	#1f78b4
ESC_KA7852AA_AS	2010-2014	#1f78b4	other	#afafaf	Animal	#7fc97f	#3dfc7d	KL30	Asia	#1f78b4
ESC_VA2241AA_AS	2010-2014	#1f78b4	rectal	#bf812d	Human	#fdc086	#35978f	KL48	Asia	#1f78b4
ESC_KA9872AA_AS	2010-2014	#1f78b4	rectal	#bf812d	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_KA9869AA_AS	2010-2014	#1f78b4	blood	red	Human	#fdc086	#afafaf	Unassigned	Asia	#1f78b4
ESC_KA9868AA_AS	2010-2014	#1f78b4	rectal	#bf812d	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_KA9867AA_AS	2010-2014	#1f78b4	rectal	#bf812d	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_KA9866AA_AS	2010-2014	#1f78b4	rectal	#bf812d	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_VA1994AA_AS	2010-2014	#1f78b4	rectal	#bf812d	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_KA9864AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#abf186	KL14	Asia	#1f78b4
ESC_KA9863AA_AS	2010-2014	#1f78b4	rectal	#bf812d	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_MA2761AA_AS	NA	white	other	#afafaf			#d66384	KL101	NA	NA
ESC_MA0225AA_AS	NA	white	other	#afafaf			#E31A1C	KL57	NA	NA
ESC_LB2505AA_AS	NA	white	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_MA4033AA_AS	NA	white	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_MA3740AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_MA3696AA_AS	NA	white	other	#afafaf			#4695f0	KL103	NA	NA
ESC_MA3669AA_AS	NA	white	other	#afafaf			#d66384	KL101	NA	NA
ESC_MA9965AA_AS	NA	white	other	#afafaf			#d66384	KL101	NA	NA
ESC_MA9873AA_AS	NA	white	other	#afafaf			#904f02	KL158	NA	NA
ESC_NA2889AA_AS	NA	white	other	#afafaf			#d5d36e	KL9	NA	NA
ESC_NA2671AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_NA8206AA_AS	NA	white	other	#afafaf			#afafaf	KL31	NA	NA
ESC_NA8042AA_AS	NA	white	other	#afafaf			#6A3D9A	KL20	NA	NA
ESC_NA7996AA_AS	NA	white	other	#afafaf			#E31A1C	KL57	NA	NA
ESC_NA7903AA_AS	NA	white	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_NA7902AA_AS	NA	white	other	#afafaf			#fd088e	KL54	NA	NA
ESC_NA7876AA_AS	NA	white	other	#afafaf			#FB9A99	KL55	NA	NA
ESC_NA8586AA_AS	2015-2019	#fdae61	other	#afafaf			#abf186	KL14	Asia	#1f78b4
ESC_OA0345AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_OA0775AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	Europe	#a6cee3
ESC_OA1122AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Asia	#1f78b4
ESC_UA5739AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#abf186	KL14	Asia	#1f78b4
ESC_OA1107AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_UA5740AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Asia	#1f78b4
ESC_OA1716AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_VA2299AA_AS	2010-2014	#1f78b4	rectal	#bf812d	Human	#fdc086	#35978f	KL48	North America	#33a02c
ESC_BB9302AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_PA3710AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_PA4509AA_AS	2010-2014	#1f78b4	other	#afafaf			#afafaf	Unassigned	Europe	#a6cee3
ESC_PA7886AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_QA4711AA_AS	2000-2004	#b2df8a	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_QA4710AA_AS	2000-2004	#b2df8a	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_QA5174AA_AS	2005-2009	#abd9e9	other	#afafaf	Human	#fdc086	#fd088e	KL54	Asia	#1f78b4
ESC_QA9946AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	KL60	Africa	#b2df8a
ESC_RA0245AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	Africa	#b2df8a
ESC_YA3923AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	KL16	Europe	#a6cee3
ESC_RA0499AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	KL125	Africa	#b2df8a
ESC_RA0579AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	Africa	#b2df8a
ESC_RA0591AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	Africa	#b2df8a
ESC_RA0594AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	KL60	Africa	#b2df8a
ESC_RA0607AA_AS	2015-2019	#fdae61	other	#afafaf			#d66384	KL101	Africa	#b2df8a
ESC_RA0684AA_AS	NA	white	other	#afafaf			#6A3D9A	KL20	NA	NA
ESC_RA0683AA_AS	NA	white	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_RA0682AA_AS	NA	white	other	#afafaf			#6A3D9A	KL20	NA	NA
ESC_RA0681AA_AS	NA	white	other	#afafaf			#6A3D9A	KL20	NA	NA
ESC_RA0680AA_AS	NA	white	other	#afafaf			#6A3D9A	KL20	NA	NA
ESC_RA0672AA_AS	NA	white	other	#afafaf			#6A3D9A	KL20	NA	NA
ESC_RA0671AA_AS	NA	white	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_RA0669AA_AS	NA	white	other	#afafaf			#6A3D9A	KL20	NA	NA
ESC_RA1911AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#3dfc7d	KL30	North America	#33a02c
ESC_RA3174AA_AS	NA	white	other	#afafaf			#4695f0	KL103	NA	NA
ESC_RA3173AA_AS	NA	white	other	#afafaf			#4695f0	KL103	NA	NA
ESC_RA3171AA_AS	NA	white	other	#afafaf			#4695f0	KL103	NA	NA
ESC_RA3068AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_RA3270AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#aac201	KL121	Europe	#a6cee3
ESC_RA3269AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_RA3268AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_RA3267AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_RA3266AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_RA3265AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_VA2236AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#35978f	KL48	Asia	#1f78b4
ESC_RA4507AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#005A9C	KL115	North America	#33a02c
ESC_RA4811AA_AS	2010-2014	#1f78b4	UTI/urine	#ffff33	Human	#fdc086	#afafaf	KL31	North America	#33a02c
ESC_RA6424AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	Asia	#1f78b4
ESC_RA6760AA_AS	NA	white	other	#afafaf			#5d7499	KL58	NA	NA
ESC_RA8207AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_RA8201AA_AS	2010-2014	#1f78b4	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_RA8378AA_AS	2000-2004	#b2df8a	other	#afafaf	Animal	#7fc97f	#CAB2D6	KL123	North America	#33a02c
ESC_RA8822AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#abf186	KL14	Asia	#1f78b4
ESC_RA8820AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#904f02	KL158	Asia	#1f78b4
ESC_VA2041AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_RA9124AA_AS	NA	white	other	#afafaf			#5d7499	KL58	NA	NA
ESC_RA9377AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#005A9C	KL115	Asia	#1f78b4
ESC_RA9508AA_AS	1990-1999	white	other	#afafaf	Animal	#7fc97f	#29c722	KL127	North America	#33a02c
ESC_SA2555AA_AS	NA	white	other	#afafaf			#35978f	KL48	Europe	#a6cee3
ESC_SA2354AA_AS	NA	white	other	#afafaf			#35978f	KL48	Europe	#a6cee3
ESC_SA5406AA_AS	2000-2004	#b2df8a	other	#afafaf	Animal	#7fc97f	#d5d36e	KL9	North America	#33a02c
ESC_SA6255AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_SA6256AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_SA6258AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_SA6354AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_SA6355AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_SA6358AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_SA6359AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_SA6363AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_SA6385AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_SA6450AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_SA6452AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_SA9339AA_AS	2000-2004	#b2df8a	other	#afafaf	Animal	#7fc97f	#FF7F00	KL35	North America	#33a02c
ESC_TA0434AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_UA6180AA_AS	NA	white	other	#afafaf			black	KL124	NA	NA
ESC_UA6148AA_AS	NA	white	other	#afafaf			#35978f	KL48	NA	NA
ESC_UA6147AA_AS	NA	white	other	#afafaf			#35978f	KL48	NA	NA
ESC_UA6369AA_AS	NA	white	other	#afafaf			#35978f	KL48	NA	NA
ESC_UA6678AA_AS	NA	white	other	#afafaf			black	KL124	NA	NA
ESC_UA5992AA_AS	NA	white	other	#afafaf			#afafaf	KL125	NA	NA
ESC_TA1493AA_AS	NA	white	other	#afafaf			#4695f0	KL103	NA	NA
ESC_TA2111AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#35978f	KL48	Asia	#1f78b4
ESC_TA2109AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL125	Asia	#1f78b4
ESC_TA2108AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_TA2105AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_TA2394AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#aac201	KL121	Oceania	#e31a1c
ESC_TA2377AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#afafaf	KL16	Oceania	#e31a1c
ESC_TA2214AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#3dfc7d	KL30	Oceania	#e31a1c
ESC_TA2200AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Oceania	#e31a1c
ESC_TA2862AA_AS	NA	white	other	#afafaf			#afafaf	Unassigned	Asia	#1f78b4
ESC_TA2933AA_AS	NA	white	other	#afafaf			#afafaf	Unassigned	Asia	#1f78b4
ESC_TA4196AA_AS	NA	white	other	#afafaf			#d5d36e	KL9	NA	NA
ESC_TA6862AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_TA7111AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_TA8331AA_AS	2000-2004	#b2df8a	other	#afafaf			#afafaf	Unassigned	North America	#33a02c
ESC_TA8360AA_AS	2000-2004	#b2df8a	other	#afafaf			#35978f	KL48	North America	#33a02c
ESC_TA8345AA_AS	2000-2004	#b2df8a	other	#afafaf			#afafaf	Unassigned	North America	#33a02c
ESC_TA8342AA_AS	2000-2004	#b2df8a	other	#afafaf			#afafaf	Unassigned	North America	#33a02c
ESC_TA8341AA_AS	2000-2004	#b2df8a	other	#afafaf			#35978f	KL48	North America	#33a02c
ESC_UA0266AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL16	Europe	#a6cee3
ESC_UA1272AA_AS	2010-2014	#1f78b4	blood	red	Human	#fdc086	#abf186	KL14	North America	#33a02c
ESC_YA6788AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_YA6790AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_UA3516AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_UA5387AA_AS	2005-2009	#abd9e9	other	#afafaf	Animal	#7fc97f	#FB9A99	KL55	Europe	#a6cee3
