#FILE	NUM_FOUND	NlpI_gi_218560235	afaC/draC/daaC_VFG045796	ag43-MS7163	ag43a_CFT073	cirA_AE016763_105	cjrC_UTI89_RS25305	csgE_gi_15801156	ecpC_gi_15799996	eitB_APECO1_RS26190	entS_gi_26246570	fecA_b4291	fepA_gi_26246561	fhuA_b0150	fhuE_b1102	fimD_gi_15804892	fiu_c0890	fliC(H4)_AJ536600.1	fyuA_gi_26248288	hbp/tsh_gi_3288154	hlyA_gi_386641997	hlyF_APECO1_O1CoBM189	hra1_AAC13751	ibeB_gi_4835717	iha_gi_78057505	ireA_gi_26250982	iroN_gi_26247124	iss_SPG000143	iutA_gi_26249458	nhaA_GeneID:944758	ompA_gi_7188818	ompT_SPG000077	papC_gi_26249425	papGII_AAN82031	pixC_gi_30524679	sisA_AE016766_93	sitA_gi_386618823	traJ_gi_150860	traT_SPG000097	uclC_ABE10308	upaC/ehaB_VFG045825	upaG/ehaG_beta	upaI_ECP_2276	yadV_b0140	yehC_b2110	yfcV_b2339	yqiH_c3793	znuB_AAC74929
ESC_AC2977AA_AS_abricate.tsv	23	100.00	.	100.00	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	86.34	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC3364AA_AS_abricate.tsv	21	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC3394AA_AS_abricate.tsv	21	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC3397AA_AS_abricate.tsv	21	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC3398AA_AS_abricate.tsv	21	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC3400AA_AS_abricate.tsv	21	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC3402AA_AS_abricate.tsv	22	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC3403AA_AS_abricate.tsv	22	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC3563AA_AS_abricate.tsv	23	100.00	.	100.00;100.00	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	100.00	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC3609AA_AS_abricate.tsv	24	100.00	.	.	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	99.62	99.93	.	.	.	99.68;99.68	99.96	100.00	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC3624AA_AS_abricate.tsv	23	100.00	.	100.00;100.00	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	100.00	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC4063AA_AS_abricate.tsv	22	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC4156AA_AS_abricate.tsv	23	100.00	.	100.00	.	.	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	.	99.93	.	.	.	99.68	99.96	100.00	100.00	.	.	.	.	100.00	100.00	.	.	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC4160AA_AS_abricate.tsv	22	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC4162AA_AS_abricate.tsv	23	100.00	.	100.00	.	.	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	.	99.93	.	.	.	99.68	99.96	100.00	100.00	.	.	.	.	100.00	100.00	.	.	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC4164AA_AS_abricate.tsv	22	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC4184AA_AS_abricate.tsv	22	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC4191AA_AS_abricate.tsv	22	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC4196AA_AS_abricate.tsv	20	100.00	.	.	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	99.93	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	.	100.00	.	100.00
ESC_AC4497AA_AS_abricate.tsv	29	100.00	.	89.28	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	.	99.93	.	100.00	100.00	100.00	99.96	100.00	100.00	.	100.00	.	.	.	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC4725AA_AS_abricate.tsv	24	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	100.00	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC4758AA_AS_abricate.tsv	25	100.00	.	100.00;100.00	.	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	99.93	.	.	.	99.68	99.96	100.00	100.00	.	.	.	.	100.00	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC5142AA_AS_abricate.tsv	26	100.00	.	100.00	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	100.00	99.62	99.93	.	.	.	99.68	99.96	100.00	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC5146AA_AS_abricate.tsv	26	100.00	.	100.00	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	100.00	99.62	99.93	.	.	.	99.68	99.96	100.00	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC5148AA_AS_abricate.tsv	26	100.00	.	100.00	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	100.00	99.62	99.93	.	.	.	99.68	99.96	100.00	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC5542AA_AS_abricate.tsv	22	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC5544AA_AS_abricate.tsv	22	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC5548AA_AS_abricate.tsv	21	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC5551AA_AS_abricate.tsv	22	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC5552AA_AS_abricate.tsv	21	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC5654AA_AS_abricate.tsv	28	100.00	.	97.04	100.00	99.95	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	94.84	99.93	100.00	100.00	.	99.68;99.68	.	100.00	100.00	100.00	100.00	.	.	100.00	.	.	.	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC5891AA_AS_abricate.tsv	22	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC5893AA_AS_abricate.tsv	22	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC6613AA_AS_abricate.tsv	24	100.00	.	.	.	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	.	99.93	.	.	.	99.68	99.96	100.00	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC9532AA_AS_abricate.tsv	23	100.00	.	100.00	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_BA1564AA_AS_abricate.tsv	26	100.00	.	100.00	.	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	.	99.93	.	.	.	99.68	99.96	100.00	100.00	.	.	.	.	100.00	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_BA1845AA_AS_abricate.tsv	22	100.00	.	100.00;97.04	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	100.00	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_BA4333AA_AS_abricate.tsv	23	100.00	.	84.96	91.23	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	99.93	.	.	.	99.68	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	.	.	.	99.34	100.00	100.00	100.00	.	100.00
ESC_BB0592AA_AS_abricate.tsv	23	100.00	.	100.00	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_BB0595AA_AS_abricate.tsv	20	100.00	.	.	100.00	100.00	.	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	99.93	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_BB2706AA_AS_abricate.tsv	28	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	95.47;98.49	99.93	.	.	.	99.68	99.96	100.00	100.00	.	100.00	.	.	100.00	100.00	.	86.34	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_BB9302AA_AS_abricate.tsv	30	100.00	.	100.00	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	.	100.00	95.47	99.93	.	.	100.00	100.00	99.96	100.00	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_BC0734AA_AS_abricate.tsv	22	100.00	.	100.00	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	99.93	.	.	.	.	99.96	100.00	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	.	100.00	.	100.00	.	100.00
ESC_BC5190AA_AS_abricate.tsv	22	100.00	.	.	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_BC5485AA_AS_abricate.tsv	22	100.00	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_BC6418AA_AS_abricate.tsv	22	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_BC7035AA_AS_abricate.tsv	22	100.00	.	85.44	84.36	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	99.93	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_BC7127AA_AS_abricate.tsv	21	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_BC7200AA_AS_abricate.tsv	18	100.00	.	.	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	99.93	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.76	100.00	.	100.00	.	100.00
ESC_BC7503AA_AS_abricate.tsv	20	100.00	.	.	100.00	100.00	.	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	99.93	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_BC7627AA_AS_abricate.tsv	22	100.00	.	85.44	84.36	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	99.93	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_BC7742AA_AS_abricate.tsv	22	100.00	.	100.00	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	99.93	.	.	.	99.68	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_BC8324AA_AS_abricate.tsv	26	100.00	.	97.52	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	100.00	.	99.93	.	.	.	99.68;99.68	99.96	100.00	100.00	100.00	.	.	.	100.00	100.00	.	100.00	.	.	.	99.76	100.00	100.00	.	.	100.00
ESC_BC8684AA_AS_abricate.tsv	21	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_BC8705AA_AS_abricate.tsv	19	100.00	.	.	100.00	100.00	.	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	99.93	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	.	100.00	.	100.00
ESC_BC9095AA_AS_abricate.tsv	27	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	100.00	94.84	99.93	.	.	.	.	99.96	100.00	100.00	.	100.00	.	.	100.00	100.00	.	100.00	.	.	.	99.76	100.00	.	100.00	.	100.00
ESC_BC9588AA_AS_abricate.tsv	21	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	99.62	.	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_CA1214AA_AS_abricate.tsv	23	100.00	.	.	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	.	99.93	.	.	.	.	99.96	100.00	100.00	.	.	.	.	100.00	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_CA1597AA_AS_abricate.tsv	26	100.00	.	.	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	100.00	94.84	.	.	.	100.00	100.00;99.68	99.96	100.00	100.00	.	.	.	.	100.00;100.00	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_CA3854AA_AS_abricate.tsv	23	100.00	.	.	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	.	99.93	.	.	.	99.68	99.96	100.00	100.00	.	.	.	.	.	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_CA3988AA_AS_abricate.tsv	23	100.00	.	100.00	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	99.83	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_CA4072AA_AS_abricate.tsv	24	100.00	.	100.00	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	99.93	.	.	.	99.68	99.96	100.00	100.00	.	.	.	.	100.00	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_CA5740AA_AS_abricate.tsv	21	100.00	.	100.00	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_CA6621AA_AS_abricate.tsv	25	100.00	.	83.44	95.58	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	98.87	99.93	.	.	.	99.68	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_CB0740AA_AS_abricate.tsv	23	100.00	.	88.64;100.00	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	100.00	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
